SITECODE,LCODE,VISIT,SDATE,FROMHOUR,FROMMINS,TOHOUR,TOMINS,CLOUD,RAIN,WIND,VISIBILITY
T06,01,E,26-Apr-04,9,30,10,50,1,0,1,1
T05,01,E,07-May-04,5,50,7,20,1,1,1,1
T07,01,E,11-May-04,8,7,9,7,3,1,2,3
T07,02,E,11-May-04,7,0,8,7,3,1,2,3
T07,03,E,11-May-04,9,41,10,47,3,1,2,3
T07,04,E,11-May-04,10,47,12,15,3,1,2,3
T04,02,E,11-May-04,15,20,17,10,3,1,2,1
T04,01,E,11-May-04,11,0,12,55,3,1,2,1
T12,01,E,11-May-04,5,20,6,56,3,1,1,1
T09,01,E,14-May-04,7,5,8,40,3,1,1,1
T11,01,E,14-May-04,8,35,12,0,3,1,1,3
T02,01,E,17-May-04,8,0,10,0,,,,
T02,02,E,17-May-04,6,15,9,45,,,,
T02,03,E,20-May-04,8,30,10,0,,,,
T04,03,L,27-May-04,6,55,8,35,1,1,1,2
T01,01,L,03-Jun-04,8,0,10,15,1,1,2,1
T09,01,L,11-Jun-04,6,30,8,20,1,1,2,1
T10,02,L,14-Jun-04,6,30,7,50,0,0,0,1
T10,01,L,14-Jun-04,8,15,9,10,1,0,0,1
T07,01,L,20-Jun-04,10,50,11,55,3,1,2,1
T07,02,L,20-Jun-04,9,37,10,50,3,2,2,1
T07,03,L,20-Jun-04,8,23,9,23,3,2,1,1
T07,04,L,20-Jun-04,7,0,8,23,3,2,2,1
T04,01,L,22-Jun-04,19,0,20,30,3,1,3,1
T04,02,L,23-Jun-04,13,5,14,55,3,1,2,1
T11,01,L,25-Jun-04,8,10,10,42,7,0,4,2
T02,01,L,29-Jun-04,7,30,10,0,,,,
T02,02,L,29-Jun-04,7,30,10,0,,,,
T05,01,L,01-Jul-04,6,0,7,40,1,1,1,1
T02,03,L,02-Jul-04,8,30,10,0,,,,
T12,01,L,06-Jul-04,4,45,6,15,3,1,1,1
T06,01,L,04-Aug-04,11,20,12,35,1,1,1,1
T06,01,E,27-Mar-05,8,30,9,45,1,0,1,1
T04,01,E,13-Apr-05,12,16,14,0,3,1,2,1
T01,01,E,19-Apr-05,7,0,9,45,3,1,1,1
T10,02,E,21-Apr-05,6,35,7,35,0,0,1,1
T10,01,E,21-Apr-05,7,50,8,50,0,0,1,2
T05,01,E,25-Apr-05,6,15,7,47,3,2,1,2
T04,02,E,29-Apr-05,14,10,15,15,3,1,3,1
T12,01,E,02-May-05,6,15,8,5,1,1,2,1
T07,02,E,06-May-05,7,5,8,21,2,1,3,1
T07,01,E,06-May-05,8,21,9,20,3,1,3,1
T07,03,E,06-May-05,11,0,11,59,3,1,3,1
T07,04,E,06-May-05,9,48,11,0,2,1,3,1
T11,01,E,10-May-05,8,34,11,0,1,0,1,0
T04,03,E,17-May-05,7,23,8,25,1,1,2,1
T02,02,E,24-May-05,6,15,9,45,2,1,2,1
T02,01,E,24-May-05,6,15,9,45,2,1,2,1
T02,03,E,24-May-05,6,15,9,45,2,1,2,1
T09,01,E,25-May-05,6,30,8,45,1,1,1,1
T05,01,L,01-Jun-05,5,55,7,30,3,1,1,1
T12,01,L,05-Jun-05,5,30,7,40,3,1,1,1
T04,01,L,08-Jun-05,14,10,15,35,3,1,3,1
T04,02,L,08-Jun-05,11,45,13,20,2,1,1,1
T10,02,L,22-Jun-05,7,45,8,40,0,0,0,3
T09,01,L,22-Jun-05,7,15,9,0,1,1,1,1
T10,01,L,22-Jun-05,6,30,7,35,0,0,0,3
T07,02,L,23-Jun-05,10,8,11,12,2,1,2,1
T07,03,L,23-Jun-05,7,25,8,33,2,1,2,1
T07,01,L,23-Jun-05,10,50,11,55,3,1,2,1
T07,04,L,23-Jun-05,7,0,8,23,2,1,2,1
T01,01,L,27-Jun-05,7,20,10,25,1,1,1,1
T04,03,L,28-Jun-05,7,27,8,41,1,0,2,1
T11,01,L,01-Jul-05,8,25,10,58,3,0,1,1
T02,01,L,04-Jul-05,7,15,9,0,3,1,3,1
T02,02,L,04-Jul-05,7,15,9,0,3,1,3,1
T02,03,L,08-Jul-05,8,0,9,30,2,1,3,1
T06,01,L,14-Jul-05,8,30,10,0,0,0,1,1
T06,01,E,03-Apr-06,8,30,9,50,0,0,1,2
T12,01,E,16-Apr-06,6,40,8,30,2,1,2,1
T10,01,E,27-Apr-06,8,25,9,35,1,1,1,1
T10,02,E,27-Apr-06,7,15,8,15,1,1,1,1
T11,01,E,28-Apr-06,8,48,10,38,1,0,1,3
T05,01,E,28-Apr-06,6,35,8,40,2,1,1,3
T01,01,E,04-May-06,8,20,11,45,1,1,2,1
T07,04,E,05-May-06,9,47,11,11,2,1,3,2
T07,03,E,05-May-06,11,11,12,6,3,2,3,2
T07,02,E,05-May-06,6,40,8,10,1,1,3,2
T07,01,E,05-May-06,8,10,9,5,1,1,3,2
T04,02,E,05-May-06,10,56,12,30,1,1,3,1
T04,01,E,10-May-06,11,20,12,40,1,1,1,1
T03,01,E,13-May-06,6,10,8,5,2,1,1,1
T09,01,E,18-May-06,6,35,8,0,3,1,2,1
T02,01,E,19-May-06,6,45,9,30,1,1,2,1
T02,02,E,19-May-06,6,45,9,30,1,1,2,1
T02,03,E,24-May-06,8,10,10,0,2,1,1,1
T04,02,L,31-May-06,12,0,13,44,2,1,2,1
T05,01,L,31-May-06,6,46,8,43,1,1,1,1
T04,03,E,02-Jun-06,6,49,8,2,1,1,3,1
T12,01,L,07-Jun-06,5,55,7,15,3,1,1,1
T04,01,L,08-Jun-06,11,40,13,30,1,1,3,1
T01,01,L,17-Jun-06,7,35,10,50,1,1,1,1
T07,01,L,20-Jun-06,8,32,9,35,3,1,3,1
T07,02,L,20-Jun-06,7,15,8,32,1,1,2,1
T07,03,L,23-Jun-06,7,45,8,55,3,1,1,1
T11,01,L,23-Jun-06,9,3,11,15,2,0,1,3
T07,04,L,23-Jun-06,8,55,10,20,3,1,1,1
T10,01,L,27-Jun-06,7,45,8,40,1,1,1,3
T10,02,L,27-Jun-06,6,30,7,30,1,1,1,3
T03,01,L,27-Jun-06,6,50,8,40,2,1,1,1
T09,01,L,29-Jun-06,6,30,8,15,1,1,1,1
T02,02,L,06-Jul-06,7,30,9,45,1,1,3,1
