SITECODE,SDATE,BATDETECTORTYPE,KEPTPROTOCOLFREQUENCY,ADJUSTFREQUENCY,USEREFERENCECD,USESONOGRAMANALYSIS
T04,23-Aug-11,Batbox Duet,Y,N,Y,Y
T09,24-Aug-11,Batbox Duet,Y,N,Y,Y
T08,24-Aug-11,Batbox Duet,Y,N,N,
T05,29-Aug-11,Batbox Duet,Y,Y,N,Y
T11,31-Aug-11,Batbox Duet,Y,Y,Y,Y
T07,17-Jun-12,Bat Box 3,Y,Y,N,N
T09,19-Jun-12,,,,,
T08,19-Jun-12,Batbox Duet,Y,N,N,Y
T02,27-Jun-12,Bat Box 3,Y,Y,Y,N
T04,12-Jul-12,Batbox Duet,Y,N,Y,Y
T05,20-Jul-12,Batbox Duet,Y,Y,N,Y
T09,23-Jul-12,,,,,
T08,24-Jul-12,Batbox Duet,Y,N,N,Y
T02,25-Jul-12,Bat Box 3,Y,Y,Y,N
T07,30-Jul-12,Bat Box 3,Y,Y,N,N
T09,31-Jul-12,,,,,
T08,07-Aug-12,Batbox Duet,Y,N,N,Y
T02,08-Aug-12,Bat Box 3,Y,Y,Y,N
T04,08-Aug-12,Batbox Duet,Y,,,
T05,10-Aug-12,Batbox Duet,Y,Y,N,Y
T07,14-Aug-12,Bat Box 3,Y,Y,N,N
T08,21-Aug-12,Batbox Duet,Y,N,N,Y
T04,28-Aug-12,Batbox Duet,Y,N,Y,Y
T05,30-Aug-12,Batbox Duet,Y,Y,N,Y
T02,30-Aug-12,Bat Box 3,Y,Y,Y,N
T07,03-Sep-12,Bat Box 3,Y,Y,N,N
T09,05-Sep-12,,,,,
T02,24-Jun-13,Bat Box 3,Y,Y,Y,N
T05,25-Jun-13,Batbox Duet,Y,Y,N,Y
T09,01-Jul-13,,,,,
T04,01-Jul-13,Batbox Duet,Y,N,Y,N
T07,05-Jul-13,,,,,
T04,09-Jul-13,Batbox Duet,Y,N,Y,N
T09,15-Jul-13,,,,,
T05,15-Jul-13,Batbox Duet,Y,Y,N,Y
T04,30-Jul-13,Batbox Duet,Y,N,Y,N
T02,30-Jul-13,Bat Box 3,Y,Y,Y,N
T09,06-Aug-13,,,,,
T07,08-Aug-13,,,,,
T05,14-Aug-13,Batbox Duet,Y,Y,N,Y
T02,14-Aug-13,Bat Box 3,Y,Y,Y,N
T04,20-Aug-13,Batbox Duet,Y,N,Y,N
T07,22-Aug-13,,,,,
T09,28-Aug-13,,,,,
T05,28-Aug-13,Batbox Duet,Y,Y,N,Y
T02,29-Aug-13,Bat Box 3,Y,Y,Y,N
T09,18-Jun-14,,,,,
T02,24-Jun-14,Bat Box 3,Y,Y,N,N
T04,24-Jun-14,Batbox Duet,Y,N,N,N
T05,29-Jun-14,Batbox Duet,Y,Y,N,Y
T07,30-Jun-14,,,,,
T04,15-Jul-14,Batbox Duet,Y,N,N,N
T09,21-Jul-14,,,,,
T07,21-Jul-14,,,,,
T02,23-Jul-14,Bat Box 3,Y,Y,N,N
T05,23-Jul-14,Batbox Duet,Y,Y,N,N
T04,29-Jul-14,Batbox Duet,Y,N,N,N
T05,30-Jul-14,Batbox Duet,Y,Y,N,Y
T09,31-Jul-14,,,,,
T07,07-Aug-14,,,,,
T02,13-Aug-14,Bat Box 3,Y,Y,N,N
T05,19-Aug-14,Batbox Duet,Y,Y,N,Y
T04,26-Aug-14,Anabat,Y,N,N,Y
T02,27-Aug-14,Bat Box 3,Y,Y,N,N
T09,02-Sep-14,,,,,
T05,23-Jun-15,Batbox Duet,Y,Y,Y,Y
T09,24-Jun-15,,,,,
T05,11-Jul-15,Batbox Duet,Y,Y,Y,Y
T09,13-Jul-15,,,,,
T04,29-Jul-15,Anabat,N,N,N,N
T05,02-Aug-15,Batbox Duet,Y,Y,Y,Y
T09,06-Aug-15,,,,,
T09,25-Aug-15,,,,,
T05,01-Sep-15,Batbox Duet,Y,Y,Y,Y
